/PREP7
N, 220, 11.368, 174.748, 0.000
N, 221, 10.658, 175.979, 0.000
N, 222, 12.789, 177.210, 0.000
N, 223, 11.368, 177.210, 0.000
N, 224, 13.500, 178.440, 0.000
N, 225, 12.789, 179.671, 0.000
N, 226, 14.921, 180.901, 0.000
N, 227, 13.500, 180.902, 0.000
N, 228, 15.631, 182.132, 0.000
N, 229, 14.921, 183.363, 0.000
N, 230, 17.052, 184.593, 0.000
N, 231, 15.631, 184.593, 0.000
N, 232, 17.763, 185.824, 0.000
N, 233, 17.052, 187.055, 0.000
N, 234, 19.184, 188.285, 0.000
N, 235, 17.763, 188.285, 0.000
N, 236, 19.894, 189.516, 0.000
N, 237, 19.184, 190.746, 0.000
N, 238, 21.315, 191.977, 0.000
N, 239, 19.894, 191.977, 0.000
N, 240, 22.026, 193.208, 0.000
N, 241, 21.315, 194.438, 0.000
N, 242, 23.447, 195.669, 0.000
N, 243, 22.026, 195.669, 0.000
N, 244, 24.157, 196.900, 0.000
N, 245, 23.447, 198.130, 0.000
N, 246, 25.578, 199.361, 0.000
N, 247, 24.157, 199.361, 0.000
N, 248, 0.000, 150.136, 0.000
N, 249, 0.711, 151.367, 0.000
N, 250, 0.000, 152.597, 0.000
N, 251, 2.132, 153.828, 0.000
N, 252, 0.711, 153.828, 0.000
N, 253, 2.842, 155.058, 0.000
N, 254, 2.132, 156.289, 0.000
N, 255, 4.263, 157.520, 0.000
N, 256, 2.842, 157.520, 0.000
N, 257, 4.974, 158.750, 0.000
N, 258, 4.263, 159.981, 0.000
N, 259, 6.395, 161.212, 0.000
N, 260, 4.974, 161.212, 0.000
N, 261, 7.105, 162.442, 0.000
N, 262, 6.395, 163.673, 0.000
N, 263, 8.526, 164.903, 0.000
N, 264, 7.105, 164.903, 0.000
N, 265, 9.237, 166.134, 0.000
N, 266, 8.526, 167.365, 0.000
N, 267, 10.658, 168.595, 0.000
N, 268, 9.237, 168.595, 0.000
N, 269, 11.368, 169.826, 0.000
N, 270, 10.658, 171.057, 0.000
N, 271, 12.789, 172.287, 0.000
N, 272, 11.368, 172.287, 0.000
N, 273, 13.500, 173.518, 0.000
N, 274, 12.789, 174.748, 0.000
N, 275, 14.921, 175.979, 0.000
N, 276, 13.500, 175.979, 0.000
N, 277, 15.631, 177.210, 0.000
N, 278, 14.921, 178.440, 0.000
N, 279, 17.052, 179.671, 0.000
N, 280, 15.631, 179.671, 0.000
N, 281, 17.763, 180.902, 0.000
N, 282, 17.052, 182.132, 0.000
N, 283, 19.184, 183.363, 0.000
N, 284, 17.763, 183.363, 0.000
N, 285, 19.894, 184.593, 0.000
N, 286, 19.184, 185.824, 0.000
N, 287, 21.315, 187.055, 0.000
N, 288, 19.894, 187.055, 0.000
N, 289, 22.026, 188.285, 0.000
N, 290, 21.315, 189.516, 0.000
N, 291, 23.447, 190.746, 0.000
N, 292, 22.026, 190.746, 0.000
N, 293, 24.157, 191.977, 0.000
N, 294, 23.447, 193.208, 0.000
N, 295, 25.578, 194.438, 0.000
N, 296, 24.157, 194.438, 0.000
N, 297, 26.289, 195.669, 0.000
N, 298, 25.578, 196.900, 0.000
N, 299, 27.710, 198.130, 0.000
N, 300, 26.289, 198.130, 0.000
N, 301, 28.420, 199.361, 0.000
N, 302, 0.000, 145.213, 0.000
N, 303, 0.710, 146.444, 0.000
N, 304, 0.000, 147.675, 0.000
N, 305, 2.132, 148.905, 0.000
N, 306, 0.711, 148.905, 0.000
N, 307, 2.842, 150.136, 0.000
N, 308, 2.132, 151.367, 0.000
N, 309, 4.263, 152.597, 0.000
